id,name_ar,name_en,name_fr,type,latitude,longitude,city_id
wlS,الرباط,Rabat,Rabat,BUS_STATION,33.916957,-6.92779,cBT
dIB,طنجة,Tangier,Tanger,BUS_STATION,35.755148,-5.791134,2Lh
s8j,الرباط أكدال,Rabat Agdal,Rabat Agdal,TRAIN_STATION,34.00244,-6.85581,cBT
5qq,طنجة المدينة,Tanger Ville,Tanger Ville,TRAIN_STATION,35.7715,-5.78612,2Lh
e7b,الدار البيضاء عين السبع,Casablanca Aïn Sebaâ,Casablanca Aïn Sebaâ,BUS_STATION,33.60219,-7.524358,7yI
tBK,الدار البيضاء القوات المسلحة الملكية,Casablanca RAF,Casablanca FAR,BUS_STATION,33.59586,-7.612193,7yI
itC,الدار البيضاء المعاريف,Casablanca Maârif,Casablanca Maârif,BUS_STATION,33.576906,-7.636308,7yI
CyI,الرباط المدينة,Rabat Ville,Rabat Ville,TRAIN_STATION,34.01646,-6.835702,cBT
YUn,الدار البيضاء الميناء,Casa Port,Casa Port,TRAIN_STATION,33.599478,-7.612822,7yI
wFK,مراكش,Marrakech,Marrakech,BUS_STATION,31.625476,-8.022624,rDo
KAw,آيت أورير,Ait Ourir,Ait Ourir,BUS_STATION,31.564444,-7.662778,rDo
BO4,ﺄﻛﺍﺪﻳﺭ,Agadir,Agadir,BUS_STATION,30.416378,-9.565741,c9X
