departure_from,departure_weekday,departure_time,arrival_to,arrival_weekday,arrival_time,duration,class,price,carrier_id
wlS,0,06:30,dIB,0,10:30,240,CONFORT,110,ctm
wlS,0,08:30,dIB,0,12:15,225,CONFORT,110,ctm
wlS,0,12:00,dIB,0,16:15,255,CONFORT_PLUS,125,ctm
wlS,0,19:00,dIB,0,23:15,255,CONFORT,110,ctm
wlS,1,06:30,dIB,1,10:30,240,CONFORT,110,ctm
wlS,1,08:30,dIB,1,12:15,225,CONFORT,110,ctm
wlS,1,12:00,dIB,1,16:15,255,CONFORT_PLUS,125,ctm
wlS,1,19:00,dIB,1,23:15,255,CONFORT,110,ctm
wlS,2,06:30,dIB,2,10:30,240,CONFORT,110,ctm
wlS,2,08:30,dIB,2,12:15,225,CONFORT,110,ctm
wlS,2,12:00,dIB,2,16:15,255,CONFORT_PLUS,125,ctm
wlS,2,19:00,dIB,2,23:15,255,CONFORT,110,ctm
wlS,3,06:30,dIB,3,10:30,240,CONFORT,110,ctm
wlS,3,08:30,dIB,3,12:15,225,CONFORT,110,ctm
wlS,3,12:00,dIB,3,16:15,255,CONFORT_PLUS,125,ctm
wlS,3,19:00,dIB,3,23:15,255,CONFORT,110,ctm
wlS,4,06:30,dIB,4,10:30,240,CONFORT,110,ctm
wlS,4,08:30,dIB,4,12:15,225,CONFORT,110,ctm
wlS,4,12:00,dIB,4,16:15,255,CONFORT_PLUS,125,ctm
wlS,4,19:00,dIB,4,23:15,255,CONFORT,110,ctm
wlS,5,06:30,dIB,5,10:30,240,CONFORT,110,ctm
wlS,5,08:30,dIB,5,12:15,225,CONFORT,110,ctm
wlS,5,12:00,dIB,5,16:15,255,CONFORT_PLUS,125,ctm
wlS,5,19:00,dIB,5,23:15,255,CONFORT,110,ctm
wlS,6,06:30,dIB,6,10:30,240,CONFORT,110,ctm
wlS,6,08:30,dIB,6,12:15,225,CONFORT,110,ctm
wlS,6,12:00,dIB,6,16:15,255,CONFORT_PLUS,125,ctm
wlS,6,19:00,dIB,6,23:15,255,CONFORT,110,ctm
wlS,0,04:15,e7b,0,04:45,30,CONFORT,45,ctm
wlS,0,04:15,e7b,0,04:45,30,CONFORT,45,ctm
wlS,0,04:30,e7b,0,05:35,65,PREMIUM,65,ctm
wlS,0,04:45,e7b,0,05:30,45,CONFORT_PLUS,50,ctm
wlS,0,05:30,e7b,0,06:20,50,CONFORT_PLUS,50,ctm
wlS,0,07:00,e7b,0,08:25,85,CONFORT,45,ctm
wlS,0,09:30,e7b,0,10:20,50,CONFORT,45,ctm
wlS,0,10:45,e7b,0,11:45,60,CONFORT,45,ctm
wlS,0,11:00,e7b,0,12:10,70,CONFORT,45,ctm
wlS,0,11:15,e7b,0,12:20,65,CONFORT,45,ctm
wlS,0,11:20,e7b,0,12:15,55,CONFORT,45,ctm
wlS,0,11:45,e7b,0,12:30,45,CONFORT,45,ctm
wlS,0,12:45,e7b,0,13:30,45,CONFORT,45,ctm
wlS,0,13:15,e7b,0,14:00,45,CONFORT_PLUS,50,ctm
wlS,0,13:30,e7b,0,14:35,65,CONFORT_PLUS,50,ctm
wlS,0,15:00,e7b,0,16:20,80,CONFORT_PLUS,50,ctm
wlS,0,15:45,e7b,0,16:45,60,CONFORT_PLUS,50,ctm
wlS,0,16:30,e7b,0,17:30,60,PREMIUM,65,ctm
wlS,0,16:30,e7b,0,17:40,70,CONFORT,45,ctm
wlS,0,16:45,e7b,0,17:40,55,CONFORT_PLUS,50,ctm
wlS,0,17:30,e7b,0,18:10,40,CONFORT_PLUS,50,ctm
wlS,0,18:00,e7b,0,19:45,105,CONFORT_PLUS,50,ctm
wlS,0,18:45,e7b,0,19:45,60,CONFORT,45,ctm
wlS,0,20:00,e7b,0,20:45,45,CONFORT_PLUS,50,ctm
wlS,0,21:20,e7b,0,22:20,60,CONFORT_PLUS,50,ctm
wlS,0,21:30,e7b,0,22:20,50,CONFORT,45,ctm
wlS,1,04:15,e7b,1,04:45,30,CONFORT,45,ctm
wlS,1,04:15,e7b,1,04:45,30,CONFORT,45,ctm
wlS,1,04:30,e7b,1,05:35,65,PREMIUM,65,ctm
wlS,1,04:45,e7b,1,05:30,45,CONFORT_PLUS,50,ctm
wlS,1,05:30,e7b,1,06:20,50,CONFORT_PLUS,50,ctm
wlS,1,07:00,e7b,1,08:25,85,CONFORT,45,ctm
wlS,1,09:30,e7b,1,10:20,50,CONFORT,45,ctm
wlS,1,10:45,e7b,1,11:45,60,CONFORT,45,ctm
wlS,1,11:00,e7b,1,12:10,70,CONFORT,45,ctm
wlS,1,11:15,e7b,1,12:20,65,CONFORT,45,ctm
wlS,1,11:20,e7b,1,12:15,55,CONFORT,45,ctm
wlS,1,11:45,e7b,1,12:30,45,CONFORT,45,ctm
wlS,1,12:45,e7b,1,13:30,45,CONFORT,45,ctm
wlS,1,13:15,e7b,1,14:00,45,CONFORT_PLUS,50,ctm
wlS,1,13:30,e7b,1,14:35,65,CONFORT_PLUS,50,ctm
wlS,1,15:00,e7b,1,16:20,80,CONFORT_PLUS,50,ctm
wlS,1,15:45,e7b,1,16:45,60,CONFORT_PLUS,50,ctm
wlS,1,16:30,e7b,1,17:30,60,PREMIUM,65,ctm
wlS,1,16:30,e7b,1,17:40,70,CONFORT,45,ctm
wlS,1,16:45,e7b,1,17:40,55,CONFORT_PLUS,50,ctm
wlS,1,17:30,e7b,1,18:10,40,CONFORT_PLUS,50,ctm
wlS,1,18:00,e7b,1,19:45,105,CONFORT_PLUS,50,ctm
wlS,1,18:45,e7b,1,19:45,60,CONFORT,45,ctm
wlS,1,20:00,e7b,1,20:45,45,CONFORT_PLUS,50,ctm
wlS,1,21:20,e7b,1,22:20,60,CONFORT_PLUS,50,ctm
wlS,1,21:30,e7b,1,22:20,50,CONFORT,45,ctm
wlS,2,04:15,e7b,2,04:45,30,CONFORT,45,ctm
wlS,2,04:15,e7b,2,04:45,30,CONFORT,45,ctm
wlS,2,04:30,e7b,2,05:35,65,PREMIUM,65,ctm
wlS,2,04:45,e7b,2,05:30,45,CONFORT_PLUS,50,ctm
wlS,2,05:30,e7b,2,06:20,50,CONFORT_PLUS,50,ctm
wlS,2,07:00,e7b,2,08:25,85,CONFORT,45,ctm
wlS,2,09:30,e7b,2,10:20,50,CONFORT,45,ctm
wlS,2,10:45,e7b,2,11:45,60,CONFORT,45,ctm
wlS,2,11:00,e7b,2,12:10,70,CONFORT,45,ctm
wlS,2,11:15,e7b,2,12:20,65,CONFORT,45,ctm
wlS,2,11:20,e7b,2,12:15,55,CONFORT,45,ctm
wlS,2,11:45,e7b,2,12:30,45,CONFORT,45,ctm
wlS,2,12:45,e7b,2,13:30,45,CONFORT,45,ctm
wlS,2,13:15,e7b,2,14:00,45,CONFORT_PLUS,50,ctm
wlS,2,13:30,e7b,2,14:35,65,CONFORT_PLUS,50,ctm
wlS,2,15:00,e7b,2,16:20,80,CONFORT_PLUS,50,ctm
wlS,2,15:45,e7b,2,16:45,60,CONFORT_PLUS,50,ctm
wlS,2,16:30,e7b,2,17:30,60,PREMIUM,65,ctm
wlS,2,16:30,e7b,2,17:40,70,CONFORT,45,ctm
wlS,2,16:45,e7b,2,17:40,55,CONFORT_PLUS,50,ctm
wlS,2,17:30,e7b,2,18:10,40,CONFORT_PLUS,50,ctm
wlS,2,18:00,e7b,2,19:45,105,CONFORT_PLUS,50,ctm
wlS,2,18:45,e7b,2,19:45,60,CONFORT,45,ctm
wlS,2,20:00,e7b,2,20:45,45,CONFORT_PLUS,50,ctm
wlS,2,21:20,e7b,2,22:20,60,CONFORT_PLUS,50,ctm
wlS,2,21:30,e7b,2,22:20,50,CONFORT,45,ctm
wlS,3,04:15,e7b,3,04:45,30,CONFORT,45,ctm
wlS,3,04:15,e7b,3,04:45,30,CONFORT,45,ctm
wlS,3,04:30,e7b,3,05:35,65,PREMIUM,65,ctm
wlS,3,04:45,e7b,3,05:30,45,CONFORT_PLUS,50,ctm
wlS,3,05:30,e7b,3,06:20,50,CONFORT_PLUS,50,ctm
wlS,3,07:00,e7b,3,08:25,85,CONFORT,45,ctm
wlS,3,09:30,e7b,3,10:20,50,CONFORT,45,ctm
wlS,3,10:45,e7b,3,11:45,60,CONFORT,45,ctm
wlS,3,11:00,e7b,3,12:10,70,CONFORT,45,ctm
wlS,3,11:15,e7b,3,12:20,65,CONFORT,45,ctm
wlS,3,11:20,e7b,3,12:15,55,CONFORT,45,ctm
wlS,3,11:45,e7b,3,12:30,45,CONFORT,45,ctm
wlS,3,12:45,e7b,3,13:30,45,CONFORT,45,ctm
wlS,3,13:15,e7b,3,14:00,45,CONFORT_PLUS,50,ctm
wlS,3,13:30,e7b,3,14:35,65,CONFORT_PLUS,50,ctm
wlS,3,15:00,e7b,3,16:20,80,CONFORT_PLUS,50,ctm
wlS,3,15:45,e7b,3,16:45,60,CONFORT_PLUS,50,ctm
wlS,3,16:30,e7b,3,17:30,60,PREMIUM,65,ctm
wlS,3,16:30,e7b,3,17:40,70,CONFORT,45,ctm
wlS,3,16:45,e7b,3,17:40,55,CONFORT_PLUS,50,ctm
wlS,3,17:30,e7b,3,18:10,40,CONFORT_PLUS,50,ctm
wlS,3,18:00,e7b,3,19:45,105,CONFORT_PLUS,50,ctm
wlS,3,18:45,e7b,3,19:45,60,CONFORT,45,ctm
wlS,3,20:00,e7b,3,20:45,45,CONFORT_PLUS,50,ctm
wlS,3,21:20,e7b,3,22:20,60,CONFORT_PLUS,50,ctm
wlS,3,21:30,e7b,3,22:20,50,CONFORT,45,ctm
wlS,4,04:15,e7b,4,04:45,30,CONFORT,45,ctm
wlS,4,04:15,e7b,4,04:45,30,CONFORT,45,ctm
wlS,4,04:30,e7b,4,05:35,65,PREMIUM,65,ctm
wlS,4,04:45,e7b,4,05:30,45,CONFORT_PLUS,50,ctm
wlS,4,05:30,e7b,4,06:20,50,CONFORT_PLUS,50,ctm
wlS,4,07:00,e7b,4,08:25,85,CONFORT,45,ctm
wlS,4,09:30,e7b,4,10:20,50,CONFORT,45,ctm
wlS,4,10:45,e7b,4,11:45,60,CONFORT,45,ctm
wlS,4,11:00,e7b,4,12:10,70,CONFORT,45,ctm
wlS,4,11:15,e7b,4,12:20,65,CONFORT,45,ctm
wlS,4,11:20,e7b,4,12:15,55,CONFORT,45,ctm
wlS,4,11:45,e7b,4,12:30,45,CONFORT,45,ctm
wlS,4,12:45,e7b,4,13:30,45,CONFORT,45,ctm
